Unnamed: 0,feels like…,category,auto_metaphorical_label,auto_metaphor_subtypes
INTERVIEW,two discs or cogs or something like that,uncategorized,,
INTERVIEW,radiating from the centre,sensory,metaphorical,motion_forceful
INTERVIEW,machine. ,uncategorized,,
INTERVIEW,metal against metal,uncategorized,,
INTERVIEW,sparks even,uncategorized,,
INTERVIEW, just like grinding against,uncategorized,,
INTERVIEW,my insides were being pulled out through me,uncategorized,metaphorical,violent_action
INTERVIEW,my ovary is going ba boom ba boom ba boom,uncategorized,,
INTERVIEW,my womb is going to explode,uncategorized,metaphorical,motion_violent
INTERVIEW,there's a thousand tiny men stabbing at it [my womb],sensory,metaphorical,violence_with_object
INTERVIEW,possesses you  ,uncategorized,,
INTERVIEW,ripped out ,uncategorized,metaphorical,violent_action
INTERVIEW,my insides were trying to kill me ,uncategorized,,
INTERVIEW,somebody has taken hold of the inside of my ribcage and sort of my right side and is just like ,uncategorized,metaphorical,confinement
INTERVIEW,somebody putting barbed wire through your belly button,uncategorized,,
INTERVIEW, in a figure of eight around your pelvis ,uncategorized,,
INTERVIEW,having a hot poker planted inside of your stomach,sensory,metaphorical,organic_entity
INTERVIEW,somebody wants to make it explode somehow,uncategorized,metaphorical,motion_violent
INTERVIEW,somebody's given you an electric shock,sensory,,
INTERVIEW,somebody's twisting me,uncategorized,metaphorical,violent_action
INTERVIEW,someone gripping the bottom of my spine ,uncategorized,,
INTERVIEW,and crushing my spine continuously for two years,uncategorized,metaphorical,"violent_action, weight_pressure"
INTERVIEW,someone had shoved a poker up your backside ,uncategorized,,
INTERVIEW,"someone is in your insides, pulling everything to bits ",uncategorized,metaphorical,violent_action
INTERVIEW,"someone putting a knitting needle through front to back, just straight through",uncategorized,metaphorical,violence_with_object
INTERVIEW,someone putting an iron to your back and it's hot and it actually feels like your skin's,sensory,"metaphorical, simile",
INTERVIEW,someone squeezing your insides,sensory,,
INTERVIEW,someone was twisting a knife inside me and...kind of winded me,metaphorical,metaphorical,"violent_action, violence_with_object, weather"
INTERVIEW,someone's cutting you ,uncategorized,,
INTERVIEW,something's going to pop,uncategorized,,
INTERVIEW,someone actually burning your skin,sensory,metaphorical,heat_temperature
INTERVIEW,there was a burning golfball just inside me,sensory,metaphorical,heat_temperature
INTERVIEW,there's some kind of physical force,uncategorized,,
INTERVIEW,this buzzing thing.,uncategorized,metaphorical,attacking_agents
INTERVIEW,screws tightening,uncategorized,,
INTERVIEW,transcendental. Yeah yeah and nothing else matters. But not in a good way. ,uncategorized,,
INTERVIEW,waves ,uncategorized,metaphorical,weather
INTERVIEW,someone punching my cervix,uncategorized,,
INTERVIEW,contractions,uncategorized,metaphorical,childbirth
INTERVIEW,you can't hear anything,uncategorized,,
INTERVIEW,something pulsing,sensory,metaphorical,motion_forceful
INTERVIEW,your insides are exploding,uncategorized,metaphorical,motion_violent
INTERVIEW,somebody wants to make it explode somehow,uncategorized,metaphorical,motion_violent
INTERVIEW,metal wool on the inside of your stomach ,uncategorized,,
INTERVIEW,when someone has long nails against a chalk board,uncategorized,,
INTERVIEW,you want to die,uncategorized,metaphorical,death
INTERVIEW,my insides were being pulled out through me,uncategorized,metaphorical,violent_action
INTERVIEW,you're dragging your insides,uncategorized,,
INTERVIEW,your insides are gonna fall out on the floor,uncategorized,,
INTERVIEW,"you're in the early stages of labour, sort of puffing and panting, contracting, burning",sensory,metaphorical,"heat_temperature, childbirth"
INTERVIEW,you're being carved out like a pumpkin,uncategorized,"metaphorical, simile",
INTERVIEW,you're burning but on the inside,sensory,metaphorical,heat_temperature
INTERVIEW,toothache pain in your back,uncategorized,,
INTERVIEW,your insides are exploding,uncategorized,metaphorical,motion_violent
INTERVIEW,your insides are gonna fall out on the floor,uncategorized,,
INTERVIEW,your ovaries are just gonna like burst out  ,uncategorized,,
INTERVIEW,your skin's hot but it's on the inside,sensory,,
INTERVIEW,someone is inside of me,uncategorized,,
INTERVIEW,"someone's driven a knife into my side, or",metaphorical,metaphorical,violence_with_object
INTERVIEW,hammered or ,uncategorized,,
INTERVIEW, screwed ,uncategorized,,
INTERVIEW,a storm that passes through your body  ,metaphorical,metaphorical,weather
SOCIAL MEDIA,Someone taking a rake to my uterus or ,uncategorized,,
SOCIAL MEDIA,someone stabbing me repeatedly with a large knife,"sensory, metaphorical",metaphorical,violence_with_object
SOCIAL MEDIA,there is a large knife/sword just sticking in my side at all times,metaphorical,metaphorical,violence_with_object
SOCIAL MEDIA,something is stuck in my abdomen but it has no way of getting out,uncategorized,metaphorical,journey
SOCIAL MEDIA, I've got a balloon inside me pushing on everything,uncategorized,metaphorical,childbirth
SOCIAL MEDIA,multiple knives stabbing me in my ovaries,sensory,metaphorical,violence_with_object
SOCIAL MEDIA,a slow grind ,uncategorized,,
SOCIAL MEDIA,with vice grips,uncategorized,,
SOCIAL MEDIA,heavy as a bowling ball ,uncategorized,metaphorical,weight_pressure
SOCIAL MEDIA, pressing against my bowels,uncategorized,metaphorical,weight_pressure
SOCIAL MEDIA,I thought I was losing my mind,uncategorized,,
SOCIAL MEDIA,tiny men playing,uncategorized,,
SOCIAL MEDIA, tug-a-war ,uncategorized,metaphorical,conflict
SOCIAL MEDIA,with barb wire,uncategorized,,
SOCIAL MEDIA,a knife jabbed in your stomach,metaphorical,metaphorical,violence_with_object
SOCIAL MEDIA,I feel chained down by my flesh prison,metaphorical,metaphorical,confinement
SOCIAL MEDIA,being gutted by an invisible knife for 5 days,metaphorical,metaphorical,violence_with_object
SOCIAL MEDIA,someone is squeezing or,sensory,,
SOCIAL MEDIA,jabbing my womb and at times like my womb is trying to pull away from my body,uncategorized,metaphorical,violent_action
SOCIAL MEDIA,a rake or a cheese grater is scraping my insides,sensory,,
SOCIAL MEDIA,like my abdomen is filed with blood and could burst open,uncategorized,,
SOCIAL MEDIA,a heavy weight in your pelvis & upper legs is puling you down,metaphorical,metaphorical,weight_pressure
SOCIAL MEDIA,my insides are being ripped apart when i walk ,uncategorized,metaphorical,violent_action
SOCIAL MEDIA,knitting needles being pushed through your abdomen,uncategorized,metaphorical,"violence_with_object, childbirth"
SOCIAL MEDIA,if I move I'll rip,uncategorized,metaphorical,"violent_action, motion_forceful"
SOCIAL MEDIA,there's a balloon inflated inside me ,uncategorized,,
SOCIAL MEDIA, squashing everything and putting pressure on my bladder and other organs,sensory,,
SOCIAL MEDIA,A t-rex has been unleashed on my insides,uncategorized,,
SOCIAL MEDIA,a vice is gripping my insides and if I move the vice gets tighter,uncategorized,metaphorical,motion_forceful
SOCIAL MEDIA,my insides are swollen and trying to escape,uncategorized,,
SOCIAL MEDIA,a hedgehog is running around my uterus,uncategorized,,
SOCIAL MEDIA,I just want to rip my insides out,uncategorized,metaphorical,violent_action
SOCIAL MEDIA,there's a hot coal rollin around in my uterus,sensory,,
SOCIAL MEDIA,my internal organs try to strangle each other,uncategorized,,
SOCIAL MEDIA,My insides are on fire.,metaphorical,metaphorical,heat_temperature
SOCIAL MEDIA,I'm not just under the weather. I'm the Wicked Witch of the East UNDER the house the weather threw at me,uncategorized,,
SOCIAL MEDIA,"a violent, sporadic, samurai sword massacre in & around your delicates. ",uncategorized,,
SOCIAL MEDIA,a ninja is cutting apart my insides ,uncategorized,,
SOCIAL MEDIA,a swarm of angry european wasps invade your uterus,uncategorized,,
SURVEY,my uterus and other pelvic organs are trying to claw their way out.  ,uncategorized,,
SURVEY,Sometimes using a white hot poker. ,sensory,,
SURVEY,Uterus will feel heavy,uncategorized,metaphorical,weight_pressure
SURVEY,you peeled a grape and the remaining flesh is painful,uncategorized,,
SURVEY,waves of cramp,uncategorized,metaphorical,weather
SURVEY,my internal organs have been pulverized,uncategorized,,
SURVEY,I am in labour but without having a break between contractions,uncategorized,metaphorical,"violent_action, injury, childbirth"
SURVEY,my organs are going to fall out of my vagina,uncategorized,,
SURVEY,something is bursting to get out.,uncategorized,,
SURVEY,someone has stabbed me in the stomach,uncategorized,metaphorical,violence_with_object
SURVEY,my insides are being rung out,uncategorized,,
SURVEY,my insides are twisting ,uncategorized,metaphorical,violent_action
SURVEY,when I walk then ripping inside me,uncategorized,metaphorical,violent_action
SURVEY,Insides falling out ,uncategorized,,
SURVEY,while on fire ,metaphorical,metaphorical,heat_temperature
SURVEY,with acid.,uncategorized,,
SURVEY,someone is just slowly sinking burning things into me,sensory,metaphorical,"attacking_agents, weight_pressure, heat_temperature"
SURVEY,and twisting them around and around. ,uncategorized,metaphorical,violent_action
SURVEY," I'm carrying knives in my uterus, and if I bend over I'm stabbed deeper",uncategorized,metaphorical,violence_with_object
SURVEY,there's a demon inside trying to claw it's way out.,uncategorized,metaphorical,attacking_agents
SURVEY,a stitch I got years ago. ,uncategorized,,
SURVEY,lots of needles cramping up inside of my pelvis,sensory,metaphorical,violence_with_object
SURVEY,somebody is pulling your pelvic down so strongly,uncategorized,metaphorical,violent_action
SURVEY,sharp knives or ,sensory,,
SURVEY,an electric shock playing in the pelvic area.,sensory,,
SURVEY,"Glass shards,",uncategorized,,
SURVEY, electric shocks,sensory,,
SURVEY,someone is twisting my insides and won't let their grip go. ,metaphorical,metaphorical,violent_action
SURVEY,It's a warm feeling the spreads throughout the back and abdomen.,uncategorized,metaphorical,"illness, organic_entity"
SURVEY,someone is ripping my insides out ,uncategorized,metaphorical,violent_action
