Unnamed: 0,feels like…,category,metaphorical_label
INTERVIEW,a storm that passes through your body ,metaphorical,Metaphorical (weather)
INTERVIEW,agonising,uncategorized,
INTERVIEW,amnesia ...because my talking brain stops being charge an,uncategorized,
INTERVIEW,pushing everything out and away,uncategorized,Metaphorical (childbirth)
INTERVIEW,someone gripping the botto,uncategorized,
INTERVIEW,a whole body pain,uncategorized,
INTERVIEW,being ripped out ,uncategorized,
INTERVIEW,burst out ,uncategorized,
INTERVIEW,claws around my womb,uncategorized,
INTERVIEW,I'm doomed,uncategorized,
INTERVIEW,having a hot poker planted inside of your stomach,sensory,
INTERVIEW,I had a balloon,uncategorized,
INTERVIEW,I lose my sense of self,uncategorized,
INTERVIEW,I was trying to give birth to a pineapple,uncategorized,
INTERVIEW,I had an operation ...just a general tenderness,uncategorized,
INTERVIEW,I'm in labour …I'm giving birth,uncategorized,Metaphorical (childbirth)
INTERVIEW,I've been run over,uncategorized,
INTERVIEW,"I've just done a 12 hour shift on the ward, when I've just woken up",uncategorized,
INTERVIEW,l'm going to shit out my insides ,uncategorized,
INTERVIEW,a hot poker or ,sensory,
INTERVIEW, a knife being shoved inside me,metaphorical,Metaphorical (violence_with_object)
INTERVIEW,it radiates to my knee ,uncategorized,Metaphorical (attacking_agents)
INTERVIEW,a muscular pain,uncategorized,
INTERVIEW,tunnel vision,uncategorized,
INTERVIEW,you're burning but on the inside,sensory,Metaphorical (heat_temperature)
INTERVIEW,it's very mechanical,uncategorized,Metaphorical (attacking_agents)
INTERVIEW,unnatural for the environment,uncategorized,
INTERVIEW,sort of beyond human consciousness ,uncategorized,
INTERVIEW,someone's just opened turned all the lights on. And you can see and breathe ,uncategorized,
INTERVIEW,somebody's twisting me,uncategorized,Metaphorical (violent_action)
INTERVIEW,scraping,sensory,
INTERVIEW,two discs or cogs or something like that,uncategorized,
INTERVIEW,radiating from the centre,sensory,Metaphorical (motion_forceful)
INTERVIEW,machine. ,uncategorized,
INTERVIEW,metal against metal,uncategorized,
INTERVIEW,sparks even,uncategorized,
INTERVIEW, just like grinding against,uncategorized,
INTERVIEW,my insides were being pulled out through me,uncategorized,
INTERVIEW,my ovary is going ba boom ba boom ba boom,uncategorized,
INTERVIEW,my womb is going to explode,uncategorized,
INTERVIEW,there's a thousand tiny men stabbing at it [my womb],sensory,"Metaphorical (violence_with_object, attacking_agents)"
INTERVIEW,possesses you  ,uncategorized,
INTERVIEW,ripped out ,uncategorized,
INTERVIEW,my insides were trying to kill me ,uncategorized,
INTERVIEW,somebody has taken hold of the inside of my ribcage and sort of my right side and is just like ,uncategorized,
INTERVIEW,somebody putting barbed wire through your belly button,uncategorized,
INTERVIEW, in a figure of eight around your pelvis ,uncategorized,
INTERVIEW,having a hot poker planted inside of your stomach,sensory,
INTERVIEW,somebody wants to make it explode somehow,uncategorized,Metaphorical (attacking_agents)
INTERVIEW,somebody's given you an electric shock,sensory,
INTERVIEW,somebody's twisting me,uncategorized,Metaphorical (violent_action)
INTERVIEW,someone gripping the bottom of my spine ,uncategorized,
INTERVIEW,and crushing my spine continuously for two years,uncategorized,"Metaphorical (violent_action, weight_pressure)"
INTERVIEW,someone had shoved a poker up your backside ,uncategorized,
INTERVIEW,"someone is in your insides, pulling everything to bits ",uncategorized,Metaphorical (violent_action)
INTERVIEW,"someone putting a knitting needle through front to back, just straight through",uncategorized,Metaphorical (violence_with_object)
INTERVIEW,someone putting an iron to your back and it's hot and it actually feels like your skin's,sensory,"Metaphorical (Simile, attacking_agents)"
INTERVIEW,someone squeezing your insides,sensory,
INTERVIEW,someone was twisting a knife inside me and...kind of winded me,metaphorical,"Metaphorical (violent_action, violence_with_object)"
INTERVIEW,someone's cutting you ,uncategorized,
INTERVIEW,something's going to pop,uncategorized,
INTERVIEW,someone actually burning your skin,sensory,Metaphorical (heat_temperature)
INTERVIEW,there was a burning golfball just inside me,sensory,Metaphorical (heat_temperature)
INTERVIEW,there's some kind of physical force,uncategorized,
INTERVIEW,this buzzing thing.,uncategorized,Metaphorical (attacking_agents)
INTERVIEW,screws tightening,uncategorized,
INTERVIEW,transcendental. Yeah yeah and nothing else matters. But not in a good way. ,uncategorized,
INTERVIEW,waves ,uncategorized,
INTERVIEW,someone punching my cervix,uncategorized,
INTERVIEW,contractions,uncategorized,Metaphorical (childbirth)
INTERVIEW,you can't hear anything,uncategorized,
INTERVIEW,something pulsing,sensory,Metaphorical (motion_forceful)
INTERVIEW,your insides are exploding,uncategorized,Metaphorical (motion_violent)
INTERVIEW,somebody wants to make it explode somehow,uncategorized,Metaphorical (attacking_agents)
INTERVIEW,metal wool on the inside of your stomach ,uncategorized,
INTERVIEW,when someone has long nails against a chalk board,uncategorized,
INTERVIEW,you want to die,uncategorized,
INTERVIEW,my insides were being pulled out through me,uncategorized,
INTERVIEW,you're dragging your insides,uncategorized,
INTERVIEW,your insides are gonna fall out on the floor,uncategorized,
INTERVIEW,"you're in the early stages of labour, sort of puffing and panting, contracting, burning",sensory,Metaphorical (heat_temperature)
INTERVIEW,you're being carved out like a pumpkin,uncategorized,Metaphorical (Simile)
INTERVIEW,you're burning but on the inside,sensory,Metaphorical (heat_temperature)
INTERVIEW,toothache pain in your back,uncategorized,
INTERVIEW,your insides are exploding,uncategorized,Metaphorical (motion_violent)
INTERVIEW,your insides are gonna fall out on the floor,uncategorized,
INTERVIEW,your ovaries are just gonna like burst out  ,uncategorized,
INTERVIEW,your skin's hot but it's on the inside,sensory,Metaphorical (attacking_agents)
INTERVIEW,someone is inside of me,uncategorized,
INTERVIEW,"someone's driven a knife into my side, or",metaphorical,Metaphorical (violence_with_object)
INTERVIEW,hammered or ,uncategorized,
INTERVIEW, screwed ,uncategorized,
INTERVIEW,a storm that passes through your body  ,metaphorical,Metaphorical (weather)
SOCIAL MEDIA,Someone taking a rake to my uterus or ,uncategorized,
SOCIAL MEDIA,someone stabbing me repeatedly with a large knife,"sensory, metaphorical",Metaphorical (violence_with_object)
SOCIAL MEDIA,there is a large knife/sword just sticking in my side at all times,metaphorical,Metaphorical (violence_with_object)
SOCIAL MEDIA,something is stuck in my abdomen but it has no way of getting out,uncategorized,"Metaphorical (attacking_agents, journey)"
SOCIAL MEDIA, I've got a balloon inside me pushing on everything,uncategorized,Metaphorical (childbirth)
SOCIAL MEDIA,multiple knives stabbing me in my ovaries,sensory,Metaphorical (violence_with_object)
SOCIAL MEDIA,a slow grind ,uncategorized,
SOCIAL MEDIA,with vice grips,uncategorized,
SOCIAL MEDIA,heavy as a bowling ball ,uncategorized,Metaphorical (weight_pressure)
