feels like…,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
someone slowly stretching me apart some days,,[],[],,
everything is dragging ,,[],[],,
and going to fall out of me. ,,[],[],,
my ovaries are at war with each other ,metaphorical,['conflict'],[],,
Barbed wire and,,[],[],,
a red hot poker up inside.,,[],['sensory'],sensory,
someone is smashing me with a hammer and glass,metaphorical,['violent_action'],[],,
 and glass,,[],[],,
with a hot poker. ,,[],['sensory'],sensory,
a concrete block in my stomach weighing me down. ,,[],[],,
I have  ball in blown up inside my stomach that's ready to burst ,,[],[],,
balloon,,[],[],,
 has gathered weight and is about to fall out through my bum.  ,metaphorical,['weight_pressure'],[],,
It feels like a hot poker is sitting off them .,simile,[],['sensory'],sensory,
there's an iron bar put up through me. ,metaphorical,['confinement'],[],,
a ball of pressure ,,[],[],,
and cutting my stomach out and body up in 10 pieces.,,[],[],,
seriously hot water dripping inside me ,,[],['sensory'],sensory,
your insides are ripped out and,metaphorical,['violent_action'],[],,
 and turned around,,[],[],,
someone poured petrol on me and set me on fire. ,metaphorical,['heat_temperature'],['sensory'],sensory,
Someone took a red hot poker ,,[],['sensory'],sensory,
and ripped open my section scar repeatedly.  ,metaphorical,"['injury', 'violent_action']",[],,
something is eating me from the inside out.  ,,[],[],,
A pain that radiates outwards ,metaphorical,['motion_forceful'],['sensory'],sensory,
"makes me nauseated, dizzy and dissociated from my body.  ",,[],[],,
my organs are trying to birth themselves through various orrifices. ,metaphorical,['childbirth'],[],,
someone took my insides and stepped on them threw them around rode a bike over them and then put back in my body. ,,[],[],,
I'm being squeezed by a cobra or some big snake and can't move until it loosens up. ,metaphorical,['motion_forceful'],[],,
a bruised feeling.,metaphorical,['injury'],[],,
tiny blisters on the inside of my body that I would do anything to take out,,[],[],,
something has ruptured,,[],[],,
it has come back with a Vengeance to Derail me. ,,[],[],,
someone is grabbing my intestines and ,,[],[],,
squeezing/,,[],[],,
twisting them.  ,metaphorical,['violent_action'],['sensory'],sensory,
carpet burns all over my insides.  ,metaphorical,['heat_temperature'],['sensory'],sensory,
"I have food poisoning, but I know it isn't, it is just morning with bowel endo.  ",metaphorical,['illness'],[],,
your insides are going to fall out.,,[],[],,
there is a spikey ball rattling around heading off things. ,metaphorical,['attacking_agents'],[],,
Like someone is pulling on my belly button from the inside.,metaphorical,['violent_action'],[],,
a dentist is picking at plaque ,,[],[],,
there is a knife scraping at my insides.,metaphorical,['violence_with_object'],[],,
