feels like…,category,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
someone putting an iron to your back and it's hot and it actually feels like your skin's,sensory,,[],['sensory'],sensory,
someone squeezing your insides,sensory,,[],[],,
someone was twisting a knife inside me and...kind of winded me,metaphorical,,[],['sensory'],sensory,
someone's cutting you ,uncategorized,,[],[],,
something's going to pop,uncategorized,,[],[],,
someone actually burning your skin,sensory,,[],['sensory'],sensory,high
there was a burning golfball just inside me,sensory,,[],['sensory'],sensory,high
there's some kind of physical force,uncategorized,,[],[],,
this buzzing thing.,uncategorized,,[],[],,low
screws tightening,uncategorized,,[],['sensory'],sensory,medium
transcendental. Yeah yeah and nothing else matters. But not in a good way. ,uncategorized,,[],[],,
waves ,uncategorized,,[],[],,
someone punching my cervix,uncategorized,,[],[],,
contractions,uncategorized,,[],[],,
you can't hear anything,uncategorized,,[],[],,
something pulsing,sensory,,[],[],,
your insides are exploding,uncategorized,,[],[],,
somebody wants to make it explode somehow,uncategorized,,[],['affective'],affective,high
metal wool on the inside of your stomach ,uncategorized,,[],[],,
when someone has long nails against a chalk board,uncategorized,,[],[],,
you want to die,uncategorized,,[],[],,
my insides were being pulled out through me,uncategorized,,[],[],,
you're dragging your insides,uncategorized,,[],[],,
your insides are gonna fall out on the floor,uncategorized,,[],[],,
"you're in the early stages of labour, sort of puffing and panting, contracting, burning",sensory,,[],['sensory'],sensory,high
you're being carved out like a pumpkin,uncategorized,,[],[],,
you're burning but on the inside,sensory,,[],['sensory'],sensory,high
toothache pain in your back,uncategorized,,[],['sensory'],sensory,
your insides are exploding,uncategorized,,[],[],,
your insides are gonna fall out on the floor,uncategorized,,[],[],,
your ovaries are just gonna like burst out  ,uncategorized,,[],[],,
your skin's hot but it's on the inside,sensory,,[],['sensory'],sensory,
someone is inside of me,uncategorized,,[],[],,
"someone's driven a knife into my side, or",metaphorical,,[],[],,
hammered or ,uncategorized,,[],[],,
 screwed ,uncategorized,,[],[],,
a storm that passes through your body  ,metaphorical,,[],[],,
Someone taking a rake to my uterus or ,uncategorized,,[],[],,
someone stabbing me repeatedly with a large knife,"sensory, metaphorical",,[],['sensory'],sensory,high
there is a large knife/sword just sticking in my side at all times,metaphorical,,[],[],,
something is stuck in my abdomen but it has no way of getting out,uncategorized,,[],[],,
 I've got a balloon inside me pushing on everything,uncategorized,,[],[],,
multiple knives stabbing me in my ovaries,sensory,,[],['sensory'],sensory,high
a slow grind ,uncategorized,,[],[],,
with vice grips,uncategorized,,[],[],,
heavy as a bowling ball ,uncategorized,,[],[],,
 pressing against my bowels,uncategorized,,[],[],,
I thought I was losing my mind,uncategorized,,[],['affective'],affective,
tiny men playing,uncategorized,,[],[],,
 tug-a-war ,uncategorized,,[],[],,
with barb wire,uncategorized,,[],[],,
