Unnamed: 0,feels like…,category,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
SOCIAL MEDIA,being gutted by an invisible knife for 5 days,metaphorical,,[],[],,
SOCIAL MEDIA,someone is squeezing or,sensory,,[],[],,
SOCIAL MEDIA,jabbing my womb and at times like my womb is trying to pull away from my body,uncategorized,,[],[],,
SOCIAL MEDIA,a rake or a cheese grater is scraping my insides,sensory,,[],[],,
SOCIAL MEDIA,like my abdomen is filed with blood and could burst open,uncategorized,,[],[],,
SOCIAL MEDIA,a heavy weight in your pelvis & upper legs is puling you down,metaphorical,,[],[],,
SOCIAL MEDIA,my insides are being ripped apart when i walk ,uncategorized,,[],[],,
SOCIAL MEDIA,knitting needles being pushed through your abdomen,uncategorized,,[],[],,
SOCIAL MEDIA,if I move I'll rip,uncategorized,,[],[],,
SOCIAL MEDIA,there's a balloon inflated inside me ,uncategorized,,[],[],,
SOCIAL MEDIA, squashing everything and putting pressure on my bladder and other organs,sensory,,[],[],,
SOCIAL MEDIA,A t-rex has been unleashed on my insides,uncategorized,,[],[],,
SOCIAL MEDIA,a vice is gripping my insides and if I move the vice gets tighter,uncategorized,,[],['sensory'],sensory,medium
SOCIAL MEDIA,my insides are swollen and trying to escape,uncategorized,,[],[],,
SOCIAL MEDIA,a hedgehog is running around my uterus,uncategorized,,[],[],,
SOCIAL MEDIA,I just want to rip my insides out,uncategorized,,[],[],,
SOCIAL MEDIA,there's a hot coal rollin around in my uterus,sensory,,[],['sensory'],sensory,
SOCIAL MEDIA,my internal organs try to strangle each other,uncategorized,,[],[],,
SOCIAL MEDIA,My insides are on fire.,metaphorical,,[],['sensory'],sensory,
SOCIAL MEDIA,I'm not just under the weather. I'm the Wicked Witch of the East UNDER the house the weather threw at me,uncategorized,,[],['affective'],affective,
SOCIAL MEDIA,"a violent, sporadic, samurai sword massacre in & around your delicates. ",uncategorized,,[],[],,
